date,start_time,end_time,region,description
1404/05/16,19:00,21:00,بابرنامه,64- از ارشاد14 تا انتهای موزیرج  جنب سردخانه بزرگ بابل، ارشاد های زوج، قسمت جنوبی زرگر شهر سمت بخشداری، خلیل کلا، مناسکلا، چمازین، حاجی کلا، دهک و خردونکلا
1404/05/16,19:00,21:00,بابرنامه,53- شهاب نیا (حر 6 تا 14)، از چهار راه گله محله (بهاران 12 تا 34 و 11 تا 29) پمپ بنزین ایستگاه آمل (بهاران 1 تا 3)، از میدان قاضی کتی تا بهاران 27 و قسمتی از شهرک اندیشه کوچه های اندیشه و شهرک ساحلی کوچه های ارین و ابتکار، بهاران 23 و محله برج بن
1404/05/16,19:00,21:00,بابرنامه,29- کمربندی احمدچاله پی تا ورودی خیابان مصلی، تجنک، ورودی خیابان مصلی تا آخر آردکلا، زرگرمحله، طغان ، گردنبری، کلنگاه، نودهک، کریم کلا چهار محل، شهیدعبدالله، نمودارکلا، اسب شورپی، بیشه محله، پهناور
1404/05/16,19:00,21:00,بابرنامه,79- از شهر مرزیکلا تا شیردارکلا ،کاردکش، جاده لفور، روستاهای گاوانکلا، سید کلا،  قرآن تالار و کاردیکلا و جاده شیرگاه
1404/05/16,19:00,21:00,بابرنامه,32-از میدان فاضل تا فیضیه 10 ، فیضیه 14 شهرک سجاد، محله حیدرکلا(حیدر(17 تا39و 26تا 40) بلوار نژاد اکبر تا حاجی کلا از میدان شهید نجاریان تا میدان مددی  دانشگاه راه دانش، گلستان 9 تا تربیت معلم و پزشک قانونی
1404/05/16,19:00,21:00,بابرنامه,17- امیرکبیر شرقی و غربی  کوچه های (فردوس2 تا 14و  فردوس 1تا 23)، کوچه های سما، فردوس 4 تا معراج 16 و (معلم 12 تا 20) و چهار راه تندست تا بیمارستان بابل کلینیک کوچه های کاکا9و 4
1404/05/16,19:00,21:00,بابرنامه,20- شهرک فرهنگیان  (فلسطین13، 19، 21 و 23)  منطقه پل محمدحسن خان، روبروی زندان متی کلا، روستاهایی ترک محله و نجارکلا، قسمتی از ملاکلا و باغ سجادی، قسمتی از ارشاد 10 و ارشاد14 و محله چنگیز خانی کوچه های فجر
1404/05/16,19:00,21:00,بابرنامه,52- بارفروش7، شهرک فرهنگیان، کوچه های (اتحاد 1 تا 14) و (گلستان 1 تا 15) و (بوستان 2 تا 16)، موزیرج قسمتی از ارشاد 5 ،ازورودی  ارشاد 15 تا  تا آستانه سر و تا قبل تالار کریم پور، کشاورزی انتهای آستانه سر بسمت پشت آب بند
1404/05/16,19:00,21:00,بابرنامه,قسمت انتهايي  شهرک فاطري از طرف کمربندي -شهرک عسگریان - کوچه هاي پورعباسي -  تفکيکي پرفسور نوري -  کوچه هاي حافظ يک و دو - کرامت - بهشتي 9 تا بهشتي 41 - امير- دلگشا - 20 متري - وليگدان -شهيد الياسي - ابن سينا و مصطفي خميني و ملامحله - شهاب الدين کلا  - و پشت بيمارستان کودکان
1404/05/16,21:00,23:00,بابرنامه,76- شهر گتاب تا اطاقسرا شماره4، حوالی بخشداری، بیل پی، مشهدسرا، سیدکلا (بالا و پایین)، پائین مرزبال، سه راه احمد کلا تا انتهای صورت
1404/05/16,21:00,23:00,بابرنامه,33- میدان فاضل تا سلطان محمد طاهر سمت چپ، محمود اباد، شهرک ولیعصر،روستای رمنت (کوچه های فیضیه و گلزار )
1404/05/16,21:00,23:00,بابرنامه,خيابان امام از ميدان انقلاب ( ساعت) تا سه را ه سجادي - بلوار ناصري از ميدان منبع آب تا ميدان شهدا ديوکلا کوچه هاي بهشتي يک تا بهشتي يازده - رزاقيان - باقرنسب - اطراف مسجد امام حسين و مخابرات  و اداره برق -کوچه های صفائیان -گلستان - حافظ و حمام قديمي ديوکلا و ابتدای خیابان مصطفی خمینی
1404/05/16,21:00,23:00,بابرنامه,1- پشت اداره برق شمال بابل،  بلوار کاظم بیگی تا قائم 9، کوچه های عادل و معرفت، محله های اسلام و سادات محله
1404/05/16,21:00,23:00,بابرنامه,8- میدان کشوری تا کارگر، قسمتی از بحرارم شرقی، کوچه های (سرداران 2 تا 18)، (ارشاد 2 تا 10)، ورودی شهرک آزادگان و هشت متری، (پاسداران 7 تا 17)
